User_Age,User_Gender,User_Marital_Status,User_City_Category,User_Stay,User_Favourite_Category,User_Favourite_Category_Ratio,User_Favourite_Product,User_Favourite_Product_Ratio,User_Favourite_Subcategory,User_Favourite_Subcategory_Ratio,User_Purchase_Std,Purchase_Avg
46-50,F,1,B,1,3,0.14285714285714285,P00007791,0.07142857142857142,45.0,0.2857142857142857,4658.452348765015,6895.142857142857
36-45,M,0,A,3,12,0.14285714285714285,P00073174,0.04081632653061224,27.0,0.10204081632653061,4658.147038612386,4666.857142857143
36-45,M,1,A,5+,3,0.2,P00082464,0.05714285714285714,36.0,0.08571428571428572,9486.178065963111,11071.771428571428
36-45,M,1,A,1,3,0.18,P00027480,0.04,24.0,0.08,9423.190656750472,13216.36
46-50,M,1,A,5+,3,0.14583333333333334,P00006469,0.041666666666666664,42.0,0.08333333333333333,8085.955696633857,8613.5625
18-25,M,0,A,2,5,0.3,P00000743,0.1,16.0,0.1,1263.3659450496168,870.2
46-50,F,1,B,5+,19,0.2222222222222222,P00001575,0.027777777777777776,21.0,0.1111111111111111,9277.263395202715,12819.305555555555
36-45,F,1,B,1,5,0.3076923076923077,P00003426,0.07692307692307693,44.0,0.23076923076923078,9732.689282344663,7192.0
46-50,F,1,B,5+,11,0.18181818181818182,P00000337,0.09090909090909091,30.0,0.18181818181818182,6509.459230437446,7648.545454545455
51-55,F,1,B,4,3,0.14634146341463414,P00000148,0.024390243902439025,40.0,0.0975609756097561,5722.970083090704,5228.682926829269
55+,F,1,C,2,10,0.2,P00015158,0.1,36.0,0.2,7654.578409175923,4039.2
51-55,F,1,C,2,3,0.14285714285714285,P00064596,0.04081632653061224,40.0,0.08163265306122448,9775.020750408583,14101.530612244898
46-50,M,1,A,5+,1,0.12195121951219512,P00000337,0.024390243902439025,27.0,0.0975609756097561,4457.42069981306,6549.170731707317
51-55,F,1,B,5+,3,0.16216216216216217,P00059396,0.05405405405405406,10.0,0.08108108108108109,8927.604852417075,11725.351351351352
51-55,F,1,C,3,16,0.2,P00000518,0.05,15.0,0.1,6975.781384453228,4884.85
36-45,M,0,A,4,10,0.14285714285714285,P00010535,0.07142857142857142,9.0,0.14285714285714285,7219.438518851208,6440.714285714285
26-35,M,0,B,2,16,0.2777777777777778,P00003936,0.05555555555555555,6.0,0.16666666666666666,3149.439940355824,1569.9444444444443
55+,F,1,C,4,12,0.16326530612244897,P00000215,0.02040816326530612,18.0,0.10204081632653061,6398.752739792341,7328.285714285715
26-35,M,0,A,4,3,0.18421052631578946,P00050310,0.05263157894736842,14.0,0.10526315789473684,9467.328369798586,10463.605263157895
51-55,F,1,B,3,1,0.15,P00003525,0.05,25.0,0.15,5366.286740283953,5813.3
51-55,F,1,B,3,17,0.3,P00000947,0.1,7.0,0.1,4938.9341461493495,4629.5
46-50,F,1,B,3,4,0.13333333333333333,P00005627,0.06666666666666667,6.0,0.06666666666666667,7989.024469918238,4450.466666666666
55+,F,1,C,4,3,0.14285714285714285,P00036068,0.04081632653061224,18.0,0.10204081632653061,5706.830050429906,5650.673469387755
55+,F,1,C,5+,3,0.13636363636363635,P00000610,0.045454545454545456,6.0,0.09090909090909091,4599.034906113812,4460.545454545455
55+,F,1,C,1,10,0.1875,P00012963,0.0625,42.0,0.1875,6579.2479936919835,3467.1875
46-50,M,1,B,3,17,0.16666666666666666,P00019169,0.041666666666666664,27.0,0.08333333333333333,7394.920389882168,7478.708333333333
36-45,M,0,A,5+,3,0.21875,P00002469,0.03125,28.0,0.09375,8863.690293151223,10918.0
51-55,F,1,C,2,3,0.15384615384615385,P00011660,0.07692307692307693,12.0,0.23076923076923078,8421.555354549633,5629.615384615385
55+,F,1,C,5+,8,0.1276595744680851,P00003018,0.02127659574468085,9.0,0.0851063829787234,6279.88366850189,5837.255319148936
51-55,F,1,C,5+,12,0.15,P00001156,0.025,42.0,0.125,5765.916674458179,7115.675
26-35,M,0,A,5+,3,0.2,P00082917,0.05714285714285714,14.0,0.08571428571428572,9352.404453158673,13222.657142857142
51-55,F,1,B,4,20,0.16,P00014365,0.04,44.0,0.1,10726.686521047232,10768.44
46-50,F,1,B,1,18,0.1388888888888889,P00034077,0.05555555555555555,20.0,0.2222222222222222,10154.999612631194,10626.194444444445
26-35,M,0,A,4,19,0.14285714285714285,P00049525,0.05714285714285714,20.0,0.17142857142857143,9160.81293712013,13593.485714285714
26-35,M,0,A,3,19,0.15,P00001575,0.025,30.0,0.1,8701.437343652648,11967.525
51-55,F,1,C,1,3,0.3,P00000337,0.1,10.0,0.2,7954.132545063882,7288.9
26-35,M,0,A,3,16,0.1875,P00002352,0.0625,4.0,0.125,5727.114910304606,4900.5625
36-45,M,0,A,2,12,0.4666666666666667,P00000247,0.06666666666666667,3.0,0.06666666666666667,3242.589099264146,6547.066666666667
