User_Age,User_Gender,User_Marital_Status,User_City_Category,User_Stay,User_Favourite_Category,User_Favourite_Product,User_Favourite_Subcategory,Purchase_Avg
46-50,F,1,B,1,3,P00007791,45.0,6895.142857142857
36-45,M,0,A,3,12,P00073174,27.0,4666.857142857143
36-45,M,1,A,5+,3,P00082464,36.0,11071.771428571428
36-45,M,1,A,1,3,P00027480,24.0,13216.36
46-50,M,1,A,5+,3,P00006469,42.0,8613.5625
18-25,M,0,A,2,5,P00000743,16.0,870.2
46-50,F,1,B,5+,19,P00001575,21.0,12819.305555555555
36-45,F,1,B,1,5,P00003426,44.0,7192.0
46-50,F,1,B,5+,11,P00000337,30.0,7648.545454545455
51-55,F,1,B,4,3,P00000148,40.0,5228.682926829269
55+,F,1,C,2,10,P00015158,36.0,4039.2
51-55,F,1,C,2,3,P00064596,40.0,14101.530612244898
46-50,M,1,A,5+,1,P00000337,27.0,6549.170731707317
51-55,F,1,B,5+,3,P00059396,10.0,11725.351351351352
51-55,F,1,C,3,16,P00000518,15.0,4884.85
36-45,M,0,A,4,10,P00010535,9.0,6440.714285714285
26-35,M,0,B,2,16,P00003936,6.0,1569.9444444444443
55+,F,1,C,4,12,P00000215,18.0,7328.285714285715
26-35,M,0,A,4,3,P00050310,14.0,10463.605263157895
51-55,F,1,B,3,1,P00003525,25.0,5813.3
51-55,F,1,B,3,17,P00000947,7.0,4629.5
46-50,F,1,B,3,4,P00005627,6.0,4450.466666666666
55+,F,1,C,4,3,P00036068,18.0,5650.673469387755
55+,F,1,C,5+,3,P00000610,6.0,4460.545454545455
55+,F,1,C,1,10,P00012963,42.0,3467.1875
46-50,M,1,B,3,17,P00019169,27.0,7478.708333333333
36-45,M,0,A,5+,3,P00002469,28.0,10918.0
51-55,F,1,C,2,3,P00011660,12.0,5629.615384615385
55+,F,1,C,5+,8,P00003018,9.0,5837.255319148936
51-55,F,1,C,5+,12,P00001156,42.0,7115.675
26-35,M,0,A,5+,3,P00082917,14.0,13222.657142857142
51-55,F,1,B,4,20,P00014365,44.0,10768.44
46-50,F,1,B,1,18,P00034077,20.0,10626.194444444445
26-35,M,0,A,4,19,P00049525,20.0,13593.485714285714
26-35,M,0,A,3,19,P00001575,30.0,11967.525
51-55,F,1,C,1,3,P00000337,10.0,7288.9
26-35,M,0,A,3,16,P00002352,4.0,4900.5625
36-45,M,0,A,2,12,P00000247,3.0,6547.066666666667
0-17,M,0,A,3,3,P00001708,7.0,4502.733333333334
26-35,M,0,B,1,3,P00001790,20.0,6640.866666666667
0-17,M,0,A,2,10,P00003088,8.0,2772.3684210526317
55+,F,1,C,3,4,P00004232,20.0,4812.823529411765
36-45,M,1,A,4,20,P00007161,7.0,13317.634146341463
51-55,F,1,C,5+,11,P00000238,30.0,6331.340425531915
55+,F,1,C,4,12,P00000925,9.0,6992.6
36-45,M,0,A,3,9,P00004405,10.0,8187.307692307692
55+,F,1,C,1,10,P00005451,8.0,2994.9444444444443
36-45,M,1,A,1,3,P00000809,24.0,10520.4
26-35,M,0,A,5+,3,P00007816,28.0,12231.055555555555
51-55,F,1,C,2,5,P00004002,21.0,5982.823529411765
51-55,F,1,C,2,4,P00000404,4.0,5405.357142857143
51-55,F,1,B,5+,12,P00000148,20.0,6125.288888888889
26-35,M,0,A,1,20,P00001803,14.0,12931.939393939394
51-55,F,1,C,5+,8,P00002892,3.0,3770.529411764706
55+,F,1,C,2,10,P00000148,27.0,6221.568181818182
51-55,F,1,C,4,3,P00029768,36.0,6454.591836734694
46-50,M,1,B,5+,1,P00000238,10.0,7126.369565217391
26-35,M,0,A,2,15,P00003451,20.0,4143.882352941177
51-55,F,1,C,2,10,P00017122,36.0,3838.6153846153848
0-17,M,0,A,1,5,P00006011,36.0,3508.153846153846
26-35,M,0,B,1,16,P00000573,20.0,4647.470588235294
46-50,M,1,B,5+,3,P00053573,20.0,10358.925
55+,F,1,C,2,10,P00078656,40.0,5827.591836734694
18-25,M,0,A,1,17,P00000610,4.0,1940.25
0-17,M,0,A,1,16,P00000947,36.0,4119.375
55+,F,1,C,4,11,P00098422,14.0,5200.268292682927
